gene,beta,HR (95% CI for HR),wald.test,p.value
207736_s_at,-0.17179931348050517,0.8421481639947734 (0.5829728525605459 - 1.2165464086444933),-0.9154606279552052,0.3599498627381358
207737_at,0.09971199462506214,1.104852668741976 (0.9452484256011071 - 1.291405927335973),1.2526121591643833,0.2103468876116182
207738_s_at,0.05965476443514105,1.061470026077016 (0.7720359856697324 - 1.459412044482001),0.36723915060672513,0.7134406384226373
207739_s_at,0.062036796158659625,1.0640014951755667 (0.9251170465187311 - 1.223736159652442),0.8692951580543131,0.38468571057336653
207740_s_at,0.49734531620127603,1.6443502414714402 (1.026687662337657 - 2.6336030087969724),2.069561075116234,0.03849346637154188
207741_x_at,-0.059412074503998547,0.942318383760139 (0.7864268591126482 - 1.1291119143288673),-0.6439022583122371,0.5196388172843911
207742_s_at,0.038891544515571815,1.0396577209536364 (0.8280891152351749 - 1.3052800198098728),0.3350210988497965,0.7376091704364516
207743_at,0.06359334371047042,1.0656589537198786 (0.8475217780594383 - 1.3399407956732206),0.5442061197306931,0.5862996410555698
207744_at,-0.058432630424351456,0.9432417840579139 (0.8126173754423353 - 1.0948634499827914),-0.7683087168373773,0.44230379718186585
207745_at,-0.1323557436062117,0.8760292978189536 (0.6918984600085347 - 1.1091617845596917),-1.0993902938421662,0.2715978626070704
207746_at,0.35284558126028914,1.4231113714011385 (1.049005970031355 - 1.9306334122680868),2.267405984368045,0.02336543625651946
207747_s_at,-0.07864614444297444,0.9243669589653439 (0.7326760341155261 - 1.1662102143934874),-0.663252843422976,0.5071686327252276
207748_at,-0.10609225717261919,0.899341673528466 (0.7229024830202069 - 1.1188444703714948),-0.9521418254256792,0.34102505960455054
207749_s_at,0.3233133868531722,1.3816982891423786 (0.9705797960877764 - 1.9669584818416344),1.7942451001509265,0.07277405650499326
207750_at,0.09126626412968412,1.0955606749357838 (0.939858090634979 - 1.2770578924897535),1.1669091414498218,0.24324706382915834
207751_at,0.0092726855556908,1.0093158100947657 (0.8029920128088754 - 1.2686532222702493),0.07947295621787087,0.936656441372806
207752_x_at,-0.19785402535093047,0.8204896150801412 (0.5843873526969595 - 1.1519811394745483),-1.1427769963428374,0.25313119204205226
207753_at,0.05837045968517453,1.060107650120797 (0.5712686207122648 - 1.967250062577278),0.1850400339544137,0.8531976351805788
207754_at,-0.017137080360816015,0.9830089241806028 (0.8090316554113565 - 1.1943989318037034),-0.17244087626053228,0.8630909388519491
207755_at,-0.034286812843783876,0.9662943192676033 (0.6871158379791225 - 1.358904364939426),-0.19709003918127468,0.8437570781327017
207756_at,0.11088768294484413,1.1172694113968462 (0.8946951426600561 - 1.395213719314166),0.9782856448327429,0.3279330677585051
207757_at,0.06423310072955904,1.0663409346432562 (0.8897988412851602 - 1.2779101704083295),0.6955771184083575,0.48669369997564127
207758_at,-0.0807331165461189,0.9224398425274927 (0.7296626694485978 - 1.1661488228871055),-0.6749450365000227,0.49971068579192013
207759_s_at,0.14118901947912013,1.1516423102425075 (0.9182234807482719 - 1.4443978383779708),1.2217268167986914,0.2218109516591767
207760_s_at,-0.039281444223477575,0.9614800680518248 (0.6344996506574804 - 1.456965217085645),-0.1852342254221175,0.8530453255660606
207761_s_at,-0.22379545335240128,0.7994786483230207 (0.6023076743698017 - 1.0611953596526356),-1.5488852820890289,0.12140929958712154
207762_at,0.09877149159772795,1.1038140399555845 (0.8875421429102179 - 1.3727860074429392),0.8877327774130708,0.37468451016320925
207763_at,-0.1257768482091749,0.8818116026676912 (0.7038512012812533 - 1.1047671740616134),-1.0936360286323035,0.27411464114456147
207764_s_at,0.15223725646751007,1.1644364737456727 (0.9097700377946794 - 1.4903901481258328),1.2089899733091014,0.22666669750239876
207765_s_at,-0.1586569256668274,0.8532890503307595 (0.5294852578309267 - 1.375113268303429),-0.6516479504801937,0.5146283071002207
207766_at,-0.1664560017326809,0.846660067691936 (0.6454589314605962 - 1.1105792100544738),-1.2023680389452753,0.22922096648584145
207767_s_at,0.23812478385772695,1.2688675171302786 (0.7817778914675291 - 2.0594401473877313),0.963673244603716,0.3352097723694055
207768_at,-0.08034791198668453,0.9227952390064157 (0.7634936403585054 - 1.1153348346595975),-0.8310125403439794,0.4059665451084822
207769_s_at,-0.7243346837267651,0.48464690518849657 (0.25112419928252105 - 0.9353245261900813),-2.1592825527924,0.03082825287200984
207770_x_at,-0.012667128555394975,0.9874127618344652 (0.8011786862690488 - 1.2169369691721317),-0.11878766926539966,0.9054435780116635
207771_at,0.20096783176299401,1.2225854427724743 (0.9529826688059129 - 1.5684599665931436),1.5810838316411713,0.11385887107386991
207772_s_at,0.04395028364758335,1.0449304034688471 (0.8661324541537313 - 1.2606380731459903),0.45900794614507884,0.6462284598783067
207773_x_at,0.020415802612477416,1.020625630613646 (0.8454284483119879 - 1.2321287270913945),0.2124715117681362,0.8317392007117114
207774_at,-0.014374158609149338,0.9857286563928046 (0.7396590252222793 - 1.3136606881014723),-0.09809761805646959,0.9218547789208485
207775_at,0.04781611996605378,1.0489777515248762 (0.8950379221194822 - 1.2293940804077954),0.5905150415313252,0.5548454045412541
207776_s_at,-0.1953345955218158,0.822559387318984 (0.6285829736526332 - 1.0763955977599968),-1.4234802238091175,0.1545969910241235
207777_s_at,-0.06698009733406139,0.9352138143996803 (0.7742765416424493 - 1.1296027085990292),-0.6951617763044481,0.48695392372539203
207778_at,0.24769156497776765,1.2810647460191062 (0.9784428213950719 - 1.6772844029384006),1.8014637495740995,0.07162981600002487
207779_at,-0.0690471736548443,0.9332826526860136 (0.7599626735396394 - 1.1461306457957379),-0.6587362375090219,0.5100651587176748
207780_at,-0.10636528080265498,0.8990961655163862 (0.6928650894559331 - 1.1667118565333376),-0.800108861357647,0.4236477274818333
207781_s_at,0.09196915961005075,1.0963310102835646 (0.9457388029978725 - 1.2709023678624354),1.219942222535826,0.22248677831366626
207782_s_at,0.13904471965433726,1.1491754895852015 (0.6470806082002533 - 2.0408652169880788),0.47450604758019865,0.6351390864487967
207783_x_at,-0.5529331509861758,0.5752600089081222 (0.3877480398897059 - 0.8534513235530566),-2.7473293387746613,0.006008276861880643
207784_at,-0.20014292216958207,0.8186137466640528 (0.6330937025882059 - 1.058498076173791),-1.5263899041819349,0.12691279043787979
207785_s_at,0.607229906678191,1.8353402867378796 (0.9372291682072521 - 3.594077182388974),1.7709035328420661,0.07657674478061784
207786_at,0.1291352049538377,1.1378439559056233 (0.8120664531772266 - 1.5943139418276193),0.7503531477487594,0.4530420409100938
207787_at,0.050106336176718426,1.0513828904688802 (0.7909353011422658 - 1.397593432451775),0.34501382757115306,0.7300839753849305
207788_s_at,-0.0741237001517093,0.9285568241167186 (0.6885148831891055 - 1.2522863291205173),-0.4857318095860453,0.6271573273131423
207789_s_at,-0.038663766590168125,0.962074136237161 (0.742871695399387 - 1.2459576119922837),-0.2930739343156178,0.7694656398401443
207790_at,0.174883443971281,1.191107377775532 (0.9298544951811215 - 1.5257621410056805),1.3842914785960134,0.1662692222219459
207791_s_at,0.10507976610007613,1.1107992109430211 (0.6451676051410327 - 1.9124873555328545),0.37905966320815904,0.704643559070939
207792_at,0.12642042344657373,1.13475914736117 (0.9067540217386901 - 1.4200966211881163),1.1046567905721505,0.2693083331119968
207793_s_at,0.14524307695131328,1.156320610998238 (0.9759240081592349 - 1.370062980560651),1.6783509362960194,0.0932786097560381
207794_at,-0.15485439901958703,0.8565398814513854 (0.6905259758538258 - 1.062466285369775),-1.4087392162287904,0.15891229436648485
207795_s_at,-0.006625842467125652,0.9933960600262189 (0.813283059432378 - 1.2133976241486775),-0.06491576234811862,0.9482410705263485
207796_x_at,-0.03960442380647585,0.9611695797637723 (0.7849470521912069 - 1.1769544945538883),-0.3832591984992733,0.701527588642888
207797_s_at,-0.01154237117575182,0.9885239864369796 (0.8136552583941741 - 1.200975058761145),-0.116206490366198,0.9074888930363779
207798_s_at,-0.04315804102582884,0.9577600127305212 (0.7952169502309903 - 1.1535270239387059),-0.4548186628025973,0.6492397026189147
207799_x_at,-0.11004465689200936,0.8957941310215299 (0.6712680689441337 - 1.195419776833451),-0.747494370448018,0.45476519970565576
207800_at,-0.12464848959495184,0.882807163955132 (0.7273220988274677 - 1.0715314301420356),-1.2610193146596762,0.20730188839507682
207801_s_at,-0.1256193240655395,0.8819505202263968 (0.5271351657100234 - 1.4755925438590434),-0.47837462010313214,0.6323835943377691
207802_at,0.06793280002611607,1.0702933823747416 (0.9858480011635798 - 1.1619721529111156),1.620057117288268,0.1052200079886336
207803_s_at,-0.00846797877777355,0.9915677735666458 (0.8687478242172851 - 1.131751495851807),-0.12551145877290112,0.9001186539852867
207804_s_at,0.08013058738340073,1.0834285405356825 (0.8933259456615609 - 1.313985570606032),0.8140233412911019,0.41563157947131535
207805_s_at,-0.20532491725387358,0.81438266643949 (0.44733513823031207 - 1.4826001150297137),-0.6716983230892272,0.5017757691474691
207808_s_at,-0.1499079280386662,0.8607872271449115 (0.6841595957801114 - 1.0830143361081614),-1.2793655263492705,0.20076836764996261
207809_s_at,-0.026432169688697736,0.9739141024918738 (0.644746751989281 - 1.4711337065383483),-0.12560105111868958,0.9000477308740216
207810_at,-0.010014361536821342,0.990035615214126 (0.8404268840811704 - 1.166276969428486),-0.11980512118661132,0.9046375250462997
207811_at,-0.007480387483472111,0.9925475209829075 (0.8112784917695831 - 1.2143186235105008),-0.0727017522761935,0.9420434541266618
207812_s_at,-0.09471708621551722,0.9096302450032604 (0.44062827261452725 - 1.87783497803044),-0.2561157642252892,0.797861449764986
207813_s_at,-0.10001982492566298,0.9048194798792218 (0.7195684032130688 - 1.137762980577239),-0.8557357689215337,0.3921439505297233
207814_at,-0.14233498880406967,0.8673306617545267 (0.6420669867035548 - 1.1716261580146747),-0.9276548086496256,0.3535866573321257
207815_at,-0.008253817616044927,0.9917801516137184 (0.8551018182754734 - 1.150304967329694),-0.10909823014954893,0.9131245786476526
207816_at,0.0659156090723895,1.0681365723261902 (0.9346915383116297 - 1.2206334286513643),0.9680632370322739,0.3330127886861446
207817_at,0.011009212604434486,1.0110700369901202 (0.794901760321924 - 1.2860238468778848),0.0897028597682298,0.9285233433400036
207818_s_at,0.049342215974752295,1.0505798144246608 (0.8901812211317081 - 1.2398800606840172),0.5837360148742303,0.5593979327568768
207819_s_at,0.060756461322678396,1.062640088709794 (0.8722512936589126 - 1.2945855928701273),0.6031401339087231,0.5464154693923637
207820_at,-0.031650616050151924,0.9688450218535681 (0.7768475570090828 - 1.208294559082286),-0.28087439902190303,0.7788067371565377
207821_s_at,-0.006775193101388262,0.993247706773182 (0.6086981590330973 - 1.620739265216905),-0.027119226067711395,0.9783646402151117
207822_at,0.09620629587429831,1.1009861694721335 (0.7865044119388398 - 1.541212645432919),0.5605870410702806,0.5750790877612308
207823_s_at,-0.11905457292996262,0.8877593518110315 (0.6771455032644321 - 1.1638808246211971),-0.8616327670929798,0.3888896337085975
207824_s_at,-0.017259470111875137,0.9828886213251519 (0.8290804462417897 - 1.165230764167265),-0.1987790248893833,0.8424356042787899
207825_s_at,0.05694545693860348,1.058598069641329 (0.8372138945420406 - 1.3385227841462632),0.4757075188565759,0.6342827635515044
207826_s_at,-0.010494205680749245,0.9895606663817065 (0.7727001687291133 - 1.267283678817336),-0.08314778204178341,0.9337340327794195
207827_x_at,0.32928250599378256,1.3899704751167155 (0.7535267137638126 - 2.563967390148512),1.0540747686738703,0.291848686867196
207828_s_at,0.17951673600420737,1.1966389308540775 (0.9488483928819361 - 1.5091396492608744),1.5164288102710406,0.1294109586857844
207829_s_at,0.22043214364801672,1.2466153310994588 (0.8392184148188254 - 1.8517822729946998),1.0917895695854982,0.27492560468716687
207830_s_at,-0.4906357324181156,0.6122370514974367 (0.3294349011604341 - 1.137809642833597),-1.5516622352738898,0.12074306331948965
207831_x_at,-0.2701132777663297,0.7632930253104744 (0.5228334668372167 - 1.1143438196717679),-1.3991587442883182,0.16176538501669843
207832_at,0.07487996137904174,1.077754770923058 (0.8326267881135179 - 1.3950492139210995),0.5687354382825631,0.5695356942966379
207833_s_at,0.24317249757318254,1.2752885893329486 (1.0440819257660445 - 1.5576947995623605),2.382635226286538,0.017189217511301043
207834_at,0.0824988539494644,1.0859974288304084 (0.8549573003265217 - 1.3794728870972037),0.6759741666424971,0.499057046937068
207835_at,-0.09826924646508073,0.9064048246017148 (0.6516989519005271 - 1.2606583203262027),-0.5838201058280271,0.5593413497203865
207836_s_at,-0.12400390146426193,0.8833763944145951 (0.6587736387692431 - 1.184555374235724),-0.8284488050341432,0.40741637664485264
207837_at,0.028182904855585993,1.0285838001886887 (0.8701437629481221 - 1.2158733752524538),0.330210210408628,0.7412411323597048
207838_x_at,-0.08506648223855146,0.918451221678469 (0.7441880812156502 - 1.1335207696751977),-0.7924486999807324,0.4280990927697713
207839_s_at,-0.004332478977530048,0.9956768926704743 (0.6907665009013033 - 1.435177405540658),-0.02322488031336583,0.9814708923379842
207840_at,0.013965824416390837,1.0140638021240327 (0.7955501650264898 - 1.292596545114171),0.11278927464304189,0.9101976216758708
207841_at,0.05810452610993294,1.0598257693856965 (0.7985136143287556 - 1.4066518607803462),0.4022594342539045,0.68749310564243
207842_s_at,0.01902151776288821,1.0192035793624123 (0.7068371865287124 - 1.469611327732482),0.10186854984570358,0.9188610136528782
207843_x_at,-0.14809562856201516,0.8623486458379501 (0.6701363425866314 - 1.1096923711198547),-1.1510185903914683,0.2497245875556791
207844_at,-0.04083496827013696,0.9599875452809058 (0.7310429870078929 - 1.2606318690866658),-0.2937626751952447,0.7689392581496202
207845_s_at,0.1317736871828278,1.1408501010489513 (0.7088969564610468 - 1.8360058414708698),0.5427942070393884,0.5872715022185486
207846_at,-0.004368105015443051,0.9956414212796033 (0.8630353830191789 - 1.1486224774467202),-0.059898129434068734,0.9522367697172437
207847_s_at,-0.028614447060202067,0.9717910691505762 (0.830017735454675 - 1.137780365094849),-0.3556468213262638,0.7221050747899527
207848_at,0.24099476424834035,1.2725143727215484 (1.0053636867281244 - 1.610653786444958),2.0044568518022543,0.04502114454949056
207849_at,-0.1504270722051624,0.8603404704529438 (0.7403669628942564 - 0.999755205453313),-1.9631590840733453,0.04962769196921426
207850_at,-0.03399290968769929,0.9665783579556315 (0.7937900493461898 - 1.1769783746189884),-0.33829461017763107,0.7351411849993896
207851_s_at,0.298435894690832,1.3477491365523666 (1.0489498156941848 - 1.731663143365496),2.33366044746338,0.019613508702008103
207852_at,0.08276167289279095,1.086282887037378 (0.9241381576724703 - 1.2768767319836998),1.003430310108834,0.31565328588876707
207853_s_at,-0.18570797272209896,0.8305160929260723 (0.5401677115514512 - 1.2769311564885877),-0.8461374265434157,0.3974760841185593
207854_at,-0.022019671005565317,0.9782209922713652 (0.8161228511861691 - 1.1725150304633345),-0.23821599961724726,0.811713568368521
207855_s_at,0.08095788627837783,1.084325230634275 (0.6838032292294481 - 1.719443774951157),0.34416432569809174,0.7307227092946879
207856_s_at,-0.20743187668369062,0.8126686015676291 (0.4029925815052831 - 1.6388149218702872),-0.5796349660927713,0.5621608080770689
207857_at,-0.07615185676131332,0.9266754739377919 (0.7001738689687153 - 1.2264488465738508),-0.5325306872859245,0.5943584936464986
207858_s_at,0.1284435320056598,1.137057212138132 (0.7227292515063655 - 1.7889121008739932),0.5555265201999482,0.5785345755967526
207859_s_at,0.10739901369415772,1.1133784190955491 (0.7447045820942992 - 1.6645681172279085),0.5234103310883468,0.600688736357541
207860_at,0.003008955008295645,1.0030134864572522 (0.823832637089828 - 1.2211655726203496),0.02996716611934372,0.9760932390448249
207861_at,-0.043962112068213856,0.9569902151661701 (0.7905545775208446 - 1.1584655860140722),-0.4509831777839799,0.6520016732915208
207862_at,-0.053180303560275616,0.9482090316042471 (0.7811764249502127 - 1.1509568631351965),-0.5379024221034789,0.5906444161718953
207863_at,0.01991762773063858,1.0201173071882075 (0.7649870370113553 - 1.3603358881615568),0.13563562075770882,0.892109344366987
207864_at,-0.02639864668734741,0.9739467515628911 (0.8226270641736043 - 1.1531012243474215),-0.30642149990999784,0.759283740596532
207865_s_at,0.15786700175681484,1.171010442018942 (0.8498966418967245 - 1.6134496687233972),0.9653864656347638,0.3343512778986947
207866_at,-0.0412903820555004,0.9595504532554291 (0.7989538243235568 - 1.1524283936211854),-0.4418371417261605,0.6586070595029705
207867_at,-0.0017452839517563814,0.998256238170639 (0.8016192597701173 - 1.2431282119298996),-0.015592817682956348,0.9875592356462688
207868_at,-0.003181341685838875,0.9968237134195288 (0.7253564325914532 - 1.3698886106041643),-0.019613412548838225,0.9843517642251355
207869_s_at,-0.12023159371997055,0.8867150552973417 (0.7450833409318943 - 1.0552693183390307),-1.354093173798736,0.1757066537365185
207870_at,0.011928406756552113,1.0119998339219873 (0.8477968557054154 - 1.2080059709657498),0.13205433570869973,0.8949413143361652
207871_s_at,-0.266491983585796,0.7660621447730379 (0.46986413345392464 - 1.2489806475339624),-1.0685221327392873,0.2852850521270275
207872_s_at,-0.010436810400879909,0.9896174641230466 (0.802036637894045 - 1.2210698103129647),-0.09733234576703843,0.9224624697322474
207873_x_at,-0.1894378755890124,0.8274241185367924 (0.641392410643862 - 1.0674131164868652),-1.4578974393650046,0.14486881455460626
207874_s_at,0.045105709817028244,1.0461384411670536 (0.8601331040825846 - 1.2723677683057235),0.4515698677473239,0.6515788814765285
207875_at,0.11938691801016856,1.1268058154186378 (0.9023004557920855 - 1.4071713446566545),1.0531040130299874,0.2922933238285189
207876_s_at,-0.09081456037104288,0.9131870362641374 (0.5816648125643 - 1.4336616986070385),-0.3946229995376249,0.6931211371394852
207877_s_at,0.08277437483345289,1.0862966850257816 (0.8157215802925837 - 1.446621637096746),0.5663504261223585,0.5711555874942729
207878_at,0.036358436850384944,1.0370274887486344 (0.7787330181860787 - 1.3809944965802456),0.24877765084464115,0.8035327797391996
207879_at,-0.17849508337191358,0.8365281697651763 (0.7170915274302027 - 0.975857825734509),-2.2708776215880215,0.02315438731585315
207880_at,0.10656006998071198,1.1124447489732645 (0.7229617461805914 - 1.7117549110393195),0.4846258713980071,0.6279417583392133
207881_at,0.026662382197335365,1.0270210036494636 (0.8410875053802872 - 1.2540575566632028),0.26165029386367505,0.7935910654432857
207882_at,-0.23813041724658068,0.7880999025718942 (0.6017503881113854 - 1.0321579656694164),-1.7300146008601647,0.08362766659384885
207883_s_at,0.1903458112656253,1.2096678421037268 (0.9545929218527507 - 1.5329008362850667),1.575361362381764,0.11517305751672194
207884_at,-0.0903140510432818,0.9136442092939172 (0.7160026695616792 - 1.1658416604610145),-0.7261824105683864,0.4677269534592501
207885_at,-0.03556225681772791,0.9650626506301767 (0.8293460043289118 - 1.1229883725007717),-0.459902190566994,0.6455864277917215
207886_s_at,0.020542548260131317,1.020754998668456 (0.8326933938215869 - 1.251289820524127),0.19772231275695662,0.8432623312886485
207887_s_at,0.20156139634515344,1.2233113416025732 (0.9453000574563639 - 1.5830853142231691),1.5323165261871656,0.12544434489976403
207888_at,0.09524810904886757,1.0999317242879814 (0.8896044474654384 - 1.3599862293203464),0.8796398846913976,0.3790544249893456
207889_at,-0.09353052112991692,0.9107102210970389 (0.735775304363086 - 1.1272369456984839),-0.8594302445328523,0.3901031894510445
207890_s_at,0.2567926421020186,1.2927770314366755 (0.8358309226087809 - 1.9995341256266002),1.1540459354954244,0.24848133683748522
207891_s_at,0.3025200053615321,1.3532647487009224 (0.9359888709638184 - 1.9565675799016655),1.6082827036528577,0.10777327702464048
207892_at,-0.049580685345607806,0.9516283725746376 (0.7646936844691218 - 1.1842605449497747),-0.4443378590246468,0.6567983334097804
207893_at,-0.05317706081001938,0.9482121064143127 (0.7730600319415132 - 1.1630483553684623),-0.5103533078719603,0.6098039623425725
207894_s_at,-0.26338799266992824,0.7684436889450079 (0.597411218299632 - 0.9884409348055524),-2.050475430527977,0.040318058984265506
207895_at,-0.13546365587540818,0.8733109020719424 (0.696361370205271 - 1.0952243537761033),-1.1726018059387011,0.2409555248736348
207896_s_at,-0.16377687535516203,0.8489314182711133 (0.5981536154901583 - 1.2048486112338173),-0.9167910297239783,0.3592521540762712
207897_at,0.26201627489572765,1.2995476922604603 (0.9011126035683369 - 1.874154459466967),1.402579886716354,0.16074215302641295
207899_at,0.25967686910718724,1.296511076190212 (0.9985968240963727 - 1.6833029408089502),1.9494227915357663,0.05124495490904986
207900_at,0.1135737558662911,1.1202745126625144 (0.8939410277165698 - 1.4039125007238682),0.986314121696114,0.32397899212871045
207901_at,-0.03210075919936063,0.9684090010475876 (0.7912633680782701 - 1.1852134588103662),-0.3114305251619074,0.7554733511656103
207902_at,-0.05391206557864001,0.9475154220589603 (0.7695653345023742 - 1.1666137165860087),-0.5079658139169348,0.6114773180294526
207904_s_at,0.024122642060173755,1.0244159466689522 (0.8318287869495035 - 1.2615913854558047),0.2270310569825811,0.820399592653742
207906_at,0.1317294916290929,1.1407996816611716 (0.8192853602715628 - 1.5884867187750757),0.7798920049127137,0.43545444484349927
207907_at,-0.06890277652191543,0.9334174257554619 (0.7560373223873766 - 1.152414126795628),-0.6407564678272348,0.5216809201736121
207908_at,0.14332806793876113,1.154108365517866 (0.8199476298275564 - 1.6244526734450673),0.821774773939379,0.4112050933509691
207909_x_at,0.11280458864166844,1.1194131655272528 (0.937921217073285 - 1.3360246173616885),1.2498617275118473,0.21135006238593745
207910_at,0.09924908137422918,1.1043413361618417 (0.9049235333979856 - 1.3477047968641511),0.9767552209709928,0.32869034964287147
207911_s_at,0.29035281349487935,1.3368990808654424 (1.036503541465281 - 1.7243541202881),2.2360771317238775,0.025346719133619963
207912_s_at,-0.08575970029342406,0.9178147553395484 (0.7815463581025106 - 1.077842557112274),-1.0458235551489703,0.2956425037293945
207913_at,-0.07427342101999997,0.9284178101896572 (0.7295050901712627 - 1.181567670864366),-0.6037489199864965,0.5460105844527751
207914_x_at,0.11925741938719878,1.1266599050649857 (0.8257966661452442 - 1.5371369172587364),0.7523889316478674,0.45181720080914367
207915_at,0.0603872705763679,1.0622478442333545 (0.824121138654022 - 1.3691803663977065),0.4662931834243719,0.6410056573179967
207916_at,-0.050038132735159925,0.9511931522125784 (0.7430311888521851 - 1.2176721871039673),-0.3970899881527197,0.6913011026079017
207917_at,0.16930245862743404,1.1844783404437447 (0.8108870477370385 - 1.7301903426571206),0.8756963679196569,0.3811951204019489
207918_s_at,0.03655832525194097,1.0372347992345206 (0.7480822562204569 - 1.438152047849168),0.21925598293077078,0.8264506481624364
207919_at,0.14932828925246253,1.161054088229 (0.8003406071893276 - 1.6843411213725683),0.7866713614744894,0.43147427296183094
207920_x_at,0.05951241142544684,1.061318933378609 (0.7115106274797595 - 1.5831075950864155),0.29169490853540064,0.7705199024172117
207921_x_at,-0.21794538087890872,0.8041693634909054 (0.6433443993107371 - 1.005197784996984),-1.9144250605144668,0.055565866003076704
207922_s_at,0.3131114523402348,1.3676739529962945 (0.723128857333487 - 2.586720226602536),0.9629799219409962,0.3355575993195844
207923_x_at,0.15432743212788427,1.1668728959092733 (0.8853665455587002 - 1.5378854803560225),1.0956068509161405,0.273250862300229
207924_x_at,0.03194517569356987,1.032460899800706 (0.8153162446836143 - 1.3074380849984637),0.2651627593002024,0.790884082081309
207925_at,-0.018042881472376798,0.9821189167501182 (0.8350873499532685 - 1.1550379330885592),-0.21805558877113418,0.8273857997688581
207926_at,0.007490077174492615,1.0075181979676584 (0.8339104081573301 - 1.2172685570372264),0.0776244148291301,0.9381268207503363
207927_at,0.05635486838962993,1.0579730583238636 (0.8266027849963522 - 1.3541050338272074),0.44756820832388894,0.6544648515361848
207928_s_at,0.007914116075700516,1.0079455154704908 (0.8773333573731128 - 1.1580024327343659),0.11176767742102817,0.9110076165843283
207929_at,-0.016583675650322597,0.9835530765040433 (0.757891000767709 - 1.2764060443001173),-0.12470995005407753,0.9007531798986668
207930_at,0.177410548607146,1.1941212373169912 (0.9442620133455011 - 1.510095195251408),1.4811514354245523,0.13856622413941463
207931_s_at,0.11256514033716261,1.119145156031216 (0.9088856096113467 - 1.378045671560051),1.0601747967010438,0.28906508481216997
207932_at,-0.11360080940425636,0.8926142079688845 (0.7278339060811079 - 1.0947004771431053),-1.0910023088487613,0.27527186664854153
207933_at,0.12239252079263908,1.1301976407992855 (0.887136200666702 - 1.4398541129404),0.990648972813556,0.3218570155343747
207934_at,-0.05744499882224733,0.9441738196304073 (0.7938760751417018 - 1.122926146270817),-0.6493727106669337,0.5160974984351225
207935_s_at,0.1723665713514656,1.1881132816889248 (0.9817801960091569 - 1.437809782539615),1.7710326574672492,0.07655527121491464
207936_x_at,-0.037339247292978224,0.9633492662766875 (0.5743203373479722 - 1.6158957788631219),-0.14149171962289414,0.8874815010201382
207937_x_at,0.4657229891149383,1.5931656140002501 (1.0138024712465286 - 2.5036205233470774),2.0194030693295435,0.0434453427961371
207938_at,0.07580712678533959,1.078754491244563 (0.9014711345899598 - 1.2909024013393817),0.8275809671114884,0.4079078507652556
207939_x_at,0.3770522493878846,1.457980485969058 (0.8725551305354196 - 2.436186577875244),1.4394919887213053,0.1500111781614995
207940_x_at,0.1158250635887608,1.1227994364479252 (0.8993593403934061 - 1.4017518002718699),1.0230524108279833,0.30628306597202026
207941_s_at,-0.08997677068574757,0.9139524155125169 (0.564181359781875 - 1.4805682664597661),-0.36556846018079925,0.7146871135154131
207943_x_at,0.20169546601776175,1.2234753615484444 (0.8768747119616432 - 1.7070762104285369),1.1868259557324636,0.23529627847021717
207944_at,0.07386361180937494,1.0766599517791495 (0.8765259981756376 - 1.3224897540720766),0.7039544909559685,0.48146111512534284
207945_s_at,0.5979147787215121,1.8183232381648655 (1.1131449457058862 - 2.970232592983402),2.388079420269492,0.01693668129862664
207946_at,0.26350540501367703,1.3014843294632343 (1.017444377229442 - 1.6648197166815586),2.097632488329832,0.03593762286218684
207949_s_at,-0.32059633509382024,0.7257161380088212 (0.5477968728208508 - 0.9614219049013748),-2.2341242661010297,0.025474897763648467
207950_s_at,-0.0594803269162896,0.9422540704520953 (0.7564680206639609 - 1.1736685610374806),-0.5308356067945678,0.595532703321521
207951_at,-0.034847287792988055,0.9657528872518097 (0.7515490404220541 - 1.241008356169857),-0.27235719197774144,0.7853473847582912
207952_at,-0.10767358458649234,0.8979206437384768 (0.7176987742579104 - 1.1233981600224727),-0.9419930430128194,0.3461962017475614
207953_at,-0.06332546184023304,0.938637933141903 (0.668296430628374 - 1.318338882499333),-0.3653705070362688,0.7148348536721683
207954_at,0.2702762408571197,1.3103263664215627 (0.7748973188377747 - 2.2157196118767075),1.0084346059612708,0.31324586664925513
207955_at,0.08780296606632303,1.0917729845083777 (0.8932280965114078 - 1.3344500182626167),0.8573826705728246,0.39123343333552363
207956_x_at,-0.5858256401940624,0.5566460826525099 (0.3463430596010365 - 0.8946472370178761),-2.4198050815854657,0.01552882846013008
207957_s_at,-0.009100249683346676,0.9909410322685389 (0.8133299168521199 - 1.2073380175587207),-0.09030135756798773,0.9280477413773494
207958_at,-0.152914338545466,0.8582032336000615 (0.7031928630037813 - 1.0473837675420794),-1.5044775978808433,0.13245843728918305
207959_s_at,0.011016104563449538,1.011077005267389 (0.8271603106867033 - 1.2358870431437698),0.1075402724226787,0.914360377779871
207960_at,0.2045562773367816,1.2269805050978966 (0.6973694425797988 - 2.1588000103948053),0.7096028407737951,0.4779504575066883
207961_x_at,-0.09756159568739099,0.9070464696842905 (0.7791951648705936 - 1.0558757744645033),-1.2585699020724896,0.20818572400254542
207962_at,-0.15233315367799644,0.8587021533008897 (0.6950782250986837 - 1.0608437460098779),-1.412349565304852,0.15784705885707273
207963_at,0.01266711753350631,1.0127476852945074 (0.79972622292079 - 1.2825112453152239),0.10513141708858297,0.9162715302009687
