gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol
201853_s_at,0.5071914535279838,1.6606207089439728 (1.2060959950992267 - 2.2864358642918035),3.1084065088681245,0.0018809914762467044,CDC25B
202670_at,1.1002489830645374,3.0049141035351643 (1.5006761670588238 - 6.016960199562229),3.1057831967882166,0.0018977580101078896,MAP2K1
205222_at,-0.25193119782101636,0.7772982160402082 (0.6630139470047157 - 0.9112817601934894),-3.1049620417059125,0.0019030344485045784,EHHADH
212228_s_at,0.8379159827553525,2.311544654703063 (1.3615579569642102 - 3.924356406098073),3.1028290239824114,0.001916803446906312,COQ9
208887_at,-0.876949969041992,0.41604994366421527 (0.23908715634046454 - 0.7239935355477756),-3.102637616701339,0.001918043476383639,EIF3G
200909_s_at,-1.0532537190863545,0.34880100031133654 (0.1793086487312781 - 0.678506801980972),-3.102436497864779,0.0019193472156911991,RPLP2 /// SNORA52
221104_s_at,-0.3804443464820344,0.6835576053030711 (0.5375054440946121 - 0.8692953809141759),-3.1020962538477543,0.00192155467763289,NIPSNAP3B
203512_at,-1.0684544739538047,0.3435390558913522 (0.17459745843773036 - 0.6759496041851764),-3.0940860910040513,0.0019742019035199837,TRAPPC3
216038_x_at,-0.7861316111593891,0.45560384357158545 (0.27687090883437154 - 0.7497171268411452),-3.093505972151012,0.0019780657177057635,DAXX
220505_at,-0.3496328790976457,0.7049468429400412 (0.5644757788826926 - 0.8803744464550455),-3.0836678317228565,0.002044657458053498,C9orf53
201736_s_at,0.8524095365620384,2.3452911138548873 (1.3626706198993939 - 4.036478315744999),3.076990094275343,0.0020910224950585667,MARCH6
209009_at,-0.8722770445421374,0.41799866320270934 (0.23979520976761917 - 0.7286337479742507),-3.0765758976836843,0.0020939298759130713,ESD
212564_at,-0.48792270801655935,0.6139003207825566 (0.4496387957487582 - 0.8381696762383226),-3.0711234087580523,0.0021325498935832648,KCTD2
205943_at,0.2919211323514708,1.338997409897726 (1.1112698409387727 - 1.6133921732260912),3.0692079707637174,0.002146271241296092,TDO2
212491_s_at,-1.325762497608833,0.26560036221783134 (0.11375682895771115 - 0.6201258689838095),-3.064460150791589,0.002180632227622721,DNAJC8
221666_s_at,-0.3968216477475722,0.6724539486144617 (0.5216842465701097 - 0.8667969484994027),-3.0635865316060684,0.0021870094584440936,PYCARD
214252_s_at,-0.681415065083843,0.505900603336904 (0.3271073816847005 - 0.78242019222709),-3.062822476434319,0.002192600904474916,CLN5
214493_s_at,-0.3712595155537659,0.6898648876578136 (0.5436619987992404 - 0.87538500810109),-3.0552180444558257,0.0022489695356598424,INADL
202365_at,-0.7779207099341793,0.45936016200491026 (0.27878217890248663 - 0.7569054782048524),-3.0530335068156385,0.0022654064167243965,UNC119B
215194_at,-0.5111404511668495,0.5998111332912522 (0.43191448848588937 - 0.8329736677307367),-3.050718382902426,0.0022829459188941762,PRKCA
217831_s_at,0.9546720127212883,2.5978183917883264 (1.4067086715827102 - 4.797482615302757),3.0503160300576346,0.002286006823566655,NSFL1C
218149_s_at,-0.47206805593533463,0.6237110642334711 (0.46021525531970375 - 0.8452903008984494),-3.0436118673254335,0.0023375651348197875,ZNF395
206349_at,0.26597383092712296,1.3047009154268425 (1.0992029843003808 - 1.5486170461946873),3.041623038544619,0.002353063750638567,LGI1
221274_s_at,-0.9396598438451144,0.3907607324225837 (0.21321167533355492 - 0.7161612972861591),-3.0400612508867266,0.0023653003987155257,LMAN2L
201184_s_at,-1.0189345942594525,0.36097932481879585 (0.18714657691180253 - 0.6962781531828054),-3.0400187878078584,0.0023656339101773938,CHD4
204942_s_at,0.23395236350048632,1.2635842980412704 (1.0863682836590918 - 1.4697090317094403),3.0344245562641,0.002409950225189891,ALDH3B2
214210_at,-0.6136107759320207,0.5413924885980794 (0.3640161286960471 - 0.8052001095675748),-3.0297673518646713,0.002447421841487035,SLC25A17
205064_at,0.30653756242447566,1.3587125030545137 (1.1143018805227884 - 1.6567320743374694),3.029621243426761,0.0024486060018363716,SPRR1B
202912_at,0.3209316983914368,1.3784114299605321 (1.1198095737625249 - 1.696733189967146),3.0274117236036227,0.0024665774585382015,ADM
208188_at,0.43456911428812867,1.5442974998441195 (1.1653479677821843 - 2.0464743870137783),3.0251879488813933,0.0024847866471463687,KRT9
222257_s_at,0.20671101413194398,1.2296271755542698 (1.0751911958719125 - 1.4062456953392815),3.018691310132788,0.0025386905881794914,ACE2
208996_s_at,0.9629141814572608,2.619318531493945 (1.4005435903418764 - 4.898690491848847),3.0145608773067685,0.0025735155837187137,POLR2C
206143_at,-0.17689761708431956,0.8378655632510946 (0.7466519318962472 - 0.9402221732677775),-3.0081324863140986,0.002628585174476587,SLC26A3
213577_at,0.42557550183087933,1.5304709551009656 (1.1593210902772633 - 2.020442277857179),3.003203889045976,0.0026715338516335755,SQLE
206410_at,-0.5185406738813294,0.5953887806971967 (0.42413634361279057 - 0.8357873724297472),-2.996586079665561,0.0027302114468359304,NR0B2
211527_x_at,0.3631747335000811,1.4378870843348177 (1.1337052579206 - 1.8236832305859199),2.9947786478374026,0.0027464407031330532,VEGFA
204204_at,-0.5620257206604533,0.5700531250465822 (0.3942940114176351 - 0.8241580038383516),-2.988205209775797,0.0028062106665315096,SLC31A2
207438_s_at,-0.9236897175127606,0.39705132778830465 (0.21640361798108543 - 0.7284987116631062),-2.982926410741453,0.002855066321178624,SNUPN
203391_at,-0.6568219053444213,0.518496549895956 (0.33658534249483696 - 0.7987236469102436),-2.979407509457589,0.002888064044848749,FKBP2
203671_at,-0.6136028588633413,0.5413967748565615 (0.36142812592139056 - 0.8109785785980499),-2.976173192492772,0.0029186997889372826,TPMT
201545_s_at,-0.9467706174498762,0.38799197698363774 (0.20783273839727853 - 0.7243217568346435),-2.9725802124245213,0.0029530803639087446,BCL2L2-PABPN1 /// PABPN1
201233_at,-0.9189646135958132,0.3989318759663938 (0.21757357956526602 - 0.7314612462600342),-2.970931008654297,0.0029689846989695828,PSMD13
218052_s_at,0.7328684160219326,2.081041346989068 (1.2826167132349477 - 3.376482657048285),2.967967484685927,0.0029977604042039463,ATP13A1
212062_at,0.5036622827107302,1.6547704241986683 (1.1852633502551073 - 2.310258860373331),2.9582497233072402,0.003093913677996611,ATP9A
215547_at,0.35944145299689534,1.432529056251051 (1.128672332665765 - 1.8181888911520165),2.955092128888257,0.0031257569505801636,TSC22D2
214702_at,0.32656631755618154,1.386200176122868 (1.1161101753572003 - 1.7216498610167192),2.953432372819796,0.0031426145698164485,FN1
212041_at,0.6738813495323682,1.961837137979417 (1.254225375942196 - 3.068670934092671),2.9523733318205174,0.0031534141843313607,ATP6V0D1
206480_at,-0.2405392515837289,0.7862037850987631 (0.6701577265853416 - 0.9223446469133678),-2.952032691282807,0.003156895064394865,LTC4S
201217_x_at,-0.9009338282496333,0.40619017072324926 (0.2232060386450195 - 0.7391845480246101),-2.949257869279435,0.0031853806791908666,RNU86 /// RPL3 /// SNORD83B
221252_s_at,0.3483292384354282,1.41669860459689 (1.1238861265626294 - 1.7857991916006906),2.948614446162879,0.0031920192658736924,GSG1
208881_x_at,0.3997752532809641,1.4914894526091202 (1.1433821948603569 - 1.9455793497955776),2.94804611912383,0.003197893525606176,IDI1
218099_at,-0.8368393544970717,0.4330771659521016 (0.248073264216411 - 0.756050162283859),-2.9436452413607346,0.0032437158199673157,TEX2
203143_s_at,-0.4980007532172204,0.6077444771387119 (0.43622716935709854 - 0.8466995534389816),-2.943573257519725,0.0032444702691206296,KIAA0040
204195_s_at,-0.5227830117538693,0.5928682904896865 (0.41855155475151096 - 0.8397837873923091),-2.94289977190687,0.0032515366951166628,PKNOX1
222077_s_at,0.5310271004919097,1.7006781792672734 (1.1939214258386146 - 2.4225264802533233),2.9418919456841817,0.003262137323832282,RACGAP1
210891_s_at,-0.9247733441126244,0.39662130544190793 (0.21410385210480531 - 0.7347297042252171),-2.939921253427247,0.0032829567027332857,GTF2I /// GTF2IP1 /// LOC100093631
201808_s_at,0.4764245828258009,1.6103065793513962 (1.1714782118920626 - 2.2135172922373703),2.934939336282964,0.003336129037207874,ENG
204876_at,-0.36254261554910977,0.6959046566876492 (0.5460934733597338 - 0.8868139152443927),-2.931124184419462,0.0033773773972086527,ZNF646
204592_at,-0.2723165592019092,0.7616131272815524 (0.6345684710117387 - 0.9140929342467377),-2.9246552616167314,0.003448380076897471,DLG4
217929_s_at,-0.3235260248419127,0.7235931262806174 (0.5821835584453022 - 0.8993503935404422),-2.9161573597304598,0.0035437172087638717,KIAA0319L
221270_s_at,-0.27964253257571736,0.7560539578169942 (0.6263926424520659 - 0.9125547594127172),-2.913271213984131,0.0035766381445375252,QTRT1
222256_s_at,-0.26699963380916597,0.7656733518478859 (0.6395337719689852 - 0.9166922958970922),-2.9070140400334474,0.0036489681960828807,JMJD7 /// JMJD7-PLA2G4B
222182_s_at,0.5871122696898567,1.7987864978539392 (1.2107833428072923 - 2.6723466952886725),2.9069956469215055,0.0036491827586941886,CNOT2
221090_s_at,0.8181971870928253,2.2664102386180636 (1.3045920691258597 - 3.937334505762074),2.9035258300531726,0.003689865318575083,OGFOD1
204531_s_at,0.582021192326126,1.7896520085581515 (1.2072637889370987 - 2.652986315903742),2.8977464913729163,0.0037585425989302645,BRCA1
208696_at,0.6151325922399645,1.8499018659298772 (1.2202414790774099 - 2.8044751569650153),2.8975837806275453,0.0037604928362964963,CCT5
209463_s_at,-0.5010076131555751,0.6059198192377779 (0.43169342277480677 - 0.8504619435368598),-2.89635456418351,0.0037752558669633908,TAF12
205641_s_at,0.9280380185955671,2.529541392686403 (1.3482785794873358 - 4.745740053028832),2.890804223018002,0.003842574154651899,TRADD
214823_at,-0.23191196215159018,0.7930159356503037 (0.6776206353797252 - 0.9280624605579166),-2.890445526927967,0.003846961955198017,ZNF204P
200034_s_at,-1.2235996352685556,0.294169356413719 (0.12830643675065082 - 0.6744448091956127),-2.8903366952685254,0.0038482941536420547,RPL6
219078_at,0.5191993693687253,1.6806815057938163 (1.1810291326254445 - 2.3917194300178206),2.8842803120245275,0.003923093768708,GPATCH2
203967_at,0.26962494458437425,1.309473233594305 (1.0901420901817225 - 1.5729327075281423),2.8827412200625413,0.0039423116293192334,CDC6
214087_s_at,-0.18686884690063224,0.8295525276361809 (0.7303852867137681 - 0.9421840891727326),-2.8767888743781187,0.004017442888309405,MYBPC1
217223_s_at,0.5940136072189323,1.8112434660472738 (1.2082350168032452 - 2.715202628358495),2.8757236444955985,0.004031024677471262,BCR
211938_at,-0.719166114568615,0.48715832085718114 (0.29838436646570454 - 0.7953608038900573),-2.87539871664634,0.004035175829043894,EIF4B
217807_s_at,-0.6706097901644086,0.5113966380473233 (0.32369732766901355 - 0.8079353737313538),-2.873968722000646,0.004053491041607764,GLTSCR2 /// SNORD23
219648_at,-0.413871753451035,0.6610857277928072 (0.4977507731014242 - 0.8780184042070653),-2.858419244767075,0.004257574629902148,MREG
220169_at,-0.2293183902753701,0.7950753489421918 (0.6791444093615804 - 0.9307958687163255),-2.851820641224349,0.004346962053701477,TMEM156
213296_at,-0.6796815492850863,0.5067783505999548 (0.31757961133760043 - 0.8086926473494411),-2.850465484709305,0.004365528816687468,RER1
220751_s_at,-0.2752120269200171,0.7594110905593836 (0.6284413630070971 - 0.9176754402432283),-2.8494673248192797,0.004379250374551735,FAXDC2
202705_at,0.36566294793447773,1.4414693105583973 (1.1205349571389336 - 1.8543230267327337),2.845610638786619,0.004432635784107094,CCNB2
205790_at,-0.4221571638232936,0.6556309898227912 (0.4902072611696699 - 0.8768780653929015),-2.84559382457654,0.004432869817137944,SKAP1
208066_s_at,-0.9587543004113647,0.3833701526894202 (0.19800270450461235 - 0.7422760933534911),-2.8440535738424297,0.004454355760092006,GTF2B
218145_at,0.47224280520035516,1.603586695650106 (1.1575441354672023 - 2.221505177794481),2.8397028010096523,0.004515558207769557,TRIB3
215818_at,-0.3518763191667116,0.7033671096271038 (0.5514529725933875 - 0.8971305179090416),-2.8343667590413624,0.004591660112286551,NUDT7
218183_at,-0.34550847541710805,0.7078603323668626 (0.5573156065563462 - 0.8990709110670958),-2.8320426127819593,0.004625168436204185,CDIP1
203145_at,0.41099231537601416,1.5083137656893804 (1.1342348712424843 - 2.005766595128525),2.826084244132771,0.0047120869513574935,SPAG5
218585_s_at,0.45798841663285894,1.580890690918079 (1.150242818758267 - 2.1727719885523338),2.822633569424404,0.004763097658275519,DTL
205888_s_at,-0.30981051532486126,0.7335859463503545 (0.5914542069976725 - 0.9098732147235581),-2.819539550507462,0.004809260393636572,JAKMIP2
218888_s_at,0.30305163578221206,1.353984376679679 (1.0964661852139406 - 1.6719837939507034),2.8155696949330986,0.004869083451604882,NETO2
202240_at,0.35069609685400605,1.4200557009344221 (1.1122210899688723 - 1.813091130840533),2.813128757447299,0.0049062001530464396,PLK1
207342_at,0.2632382055783423,1.301136620041254 (1.0829544245009743 - 1.5632758551150419),2.8109537156212747,0.004939489093545054,CNGB1
214074_s_at,0.5545411004842732,1.7411417922882853 (1.18212482209961 - 2.5645132258270196),2.8068263420726822,0.0050032205638370604,CTTN
213902_at,-0.4873986206625553,0.6142221425012782 (0.43699111840674426 - 0.8633329705060612),-2.8059955206975284,0.00501613896197177,ASAH1
202509_s_at,-0.345256617087886,0.708038635340097 (0.5561684032077826 - 0.9013793416577387),-2.8028722938699215,0.005064972076215388,TNFAIP2
206251_s_at,0.3687306635994176,1.445898118231017 (1.1164847001555331 - 1.8725033742179895),2.795247303021419,0.0051860027151858805,AVPR1A
203535_at,0.15653001822130394,1.1694458664769811 (1.0477986476948613 - 1.3052160714549508),2.7931278413821796,0.005220105710476303,S100A9
220098_at,-0.3358963720269944,0.7146971645971905 (0.5641585909214787 - 0.9054050497555166),-2.7834222673956526,0.005378874975384114,HYDIN /// HYDIN2 /// LOC101930373
213849_s_at,-0.4150606831043865,0.6603002104226051 (0.492689639569529 - 0.8849310658634383),-2.7782168306952206,0.005465813081762262,PPP2R2B
212072_s_at,0.9393298010386688,2.5582662962423988 (1.3185700237144853 - 4.9635031320164105),2.7777650437942403,0.005473418055644596,CSNK2A1
217508_s_at,0.7581174538731817,2.134254603507309 (1.2474506103552738 - 3.651481409187707),2.7669274242359627,0.0056587351162972884,C18orf25
200081_s_at,-0.7168203746226883,0.4883024089323446 (0.29382056395110295 - 0.8115131199898293),-2.765821109215672,0.0056779673106660145,RPS6
219434_at,0.3623033719575834,1.4366347105414952 (1.111216389087287 - 1.8573513780046695),2.7646750401574813,0.005697952744691537,TREM1
214343_s_at,-0.3422668572445975,0.7101586684352524 (0.5570979717614538 - 0.9052722499763112),-2.763493963918359,0.005718615004424851,ATXN7L1
218571_s_at,-0.6239282688786567,0.5358353923625072 (0.34399965853885045 - 0.8346507346194227),-2.7592838740830374,0.005792819031678662,CHMP4A /// TM9SF1
202550_s_at,0.8030060238183143,2.232241022808428 (1.2615694231652965 - 3.9497628052895006),2.7580202471505775,0.005815259588051297,VAPB
219486_at,0.40080543553894044,1.493026750293599 (1.122688815480723 - 1.985526929951445),2.755602819013995,0.005858408829610332,DUS2
212502_at,0.9265640379236096,2.5258156440799366 (1.3067041038330205 - 4.8823177712268),2.7555049680646118,0.0058601614559284036,ADO
205598_at,0.3550968164032152,1.4263187386470706 (1.1079222028767366 - 1.8362166034162495),2.755139330860045,0.005866714634485659,TRAIP
220703_at,0.3773649496853886,1.458436468189948 (1.1149599785409747 - 1.9077249163057746),2.7541668877918357,0.005884175525182435,IDI2-AS1
212531_at,0.16816739292739658,1.1831346424440905 (1.0496407980506353 - 1.333606301080323),2.753121687147338,0.005902995045883457,LCN2
222233_s_at,0.5537980724819229,1.7398485556955525 (1.1724990261688109 - 2.5817275146462055),2.750272137794047,0.005954578917644697,DCLRE1C
209940_at,-0.4280878034249158,0.6517541860365909 (0.4802505858018343 - 0.884503906032709),-2.7477016532544094,0.006001459129932831,PARP3
207783_x_at,-0.5529331509861758,0.5752600089081222 (0.3877480398897059 - 0.8534513235530566),-2.7473293387746613,0.006008276861880643,HUWE1
222267_at,-0.27767088571387544,0.7575460997353944 (0.6213288792826446 - 0.923626942766409),-2.7455067648633724,0.0060417521839660395,TMEM209
217966_s_at,-0.3546835091646152,0.7013953932980951 (0.5444190293239941 - 0.9036339129266869),-2.7438718009840906,0.006071924527749206,FAM129A
206907_at,-0.3611474677500347,0.6968762241202845 (0.5384151491628445 - 0.9019740111310713),-2.7437855765420798,0.006073519512858336,TNFSF9
204261_s_at,0.4103632279969005,1.5073652029313545 (1.1242352150124695 - 2.0210626963709566),2.742605572157019,0.0060953852627335485,PSEN2
207352_s_at,-0.33971072424688276,0.7119762504422796 (0.5584409314266583 - 0.9077239017899993),-2.741179740030203,0.006121900840529156,GABRB2
209858_x_at,-0.8461044991420376,0.4290831743931548 (0.23418884847221544 - 0.7861705275396573),-2.7386812648153147,0.006168614502598779,MPPE1
215489_x_at,0.5654867650581497,1.760304428899882 (1.1740825646732806 - 2.639228088074731),2.736628305445402,0.006207238375446479,HOMER3
213552_at,-0.39724730923075896,0.6721677717808685 (0.50565744229565 - 0.8935090747793083),-2.735269502419967,0.006232922174514186,GLCE
209714_s_at,0.4112513104113852,1.5087044620585017 (1.1227936232965623 - 2.0272551487710273),2.728341303432979,0.00636537100224639,CDKN3
201791_s_at,0.35671152761295993,1.428623691919169 (1.1056690392767727 - 1.8459101056567244),2.7282418756388958,0.006367290095564528,DHCR7
